,Cluster Assignment,Sensor1,Sensor2
219,1.0,1.089934758116323232e-01,1.089934758116323232e-01
220,1.0,1.339745962155608483e-01,1.339745962155608483e-01
221,1.0,1.613294320545755056e-01,1.613294320545755056e-01
222,1.0,1.909830056250523267e-01,1.909830056250523267e-01
223,1.0,2.228540385430289872e-01,2.228540385430289872e-01
224,1.0,2.568551745226058669e-01,2.568551745226058669e-01
225,1.0,2.928932188134527603e-01,2.928932188134527603e-01
226,1.0,3.308693936411409853e-01,3.308693936411409853e-01
227,1.0,3.706796089501619429e-01,3.706796089501619429e-01
228,1.0,4.122147477075265298e-01,4.122147477075265298e-01
229,1.0,4.553609649849728047e-01,4.553609649849728047e-01
230,1.0,5.000000000000001110e-01,5.000000000000001110e-01
231,1.0,5.460095002604535841e-01,5.460095002604535841e-01
232,1.0,5.932633569241988480e-01,5.932633569241988480e-01
233,1.0,6.416320504546990655e-01,6.416320504546990655e-01
234,1.0,6.909830056250521046e-01,6.909830056250521046e-01
235,1.0,7.411809548974790385e-01,7.411809548974790385e-01
236,1.0,7.920883091822408240e-01,7.920883091822408240e-01
237,1.0,8.435655349597694919e-01,8.435655349597694919e-01
238,1.0,8.954715367323454744e-01,8.954715367323454744e-01
239,1.0,9.476640437570553743e-01,9.476640437570553743e-01
240,1.0,9.999999999999995559e-01,9.999999999999995559e-01
241,1.0,1.052335956242943737e+00,1.052335956242943737e+00
242,1.0,1.104528463267653526e+00,1.104528463267653526e+00
243,1.0,1.156434465040231174e+00,1.156434465040231174e+00
244,1.0,1.207911690817758288e+00,1.207911690817758288e+00
245,1.0,1.258819045102520073e+00,1.258819045102520073e+00
246,1.0,1.309016994374947007e+00,1.309016994374947007e+00
247,1.0,1.358367949545300046e+00,1.358367949545300046e+00
248,1.0,1.406736643075800153e+00,1.406736643075800153e+00
249,1.0,1.453990499739547193e+00,1.453990499739547193e+00
250,1.0,1.499999999999999112e+00,1.499999999999999112e+00
251,1.0,1.544639035015026529e+00,1.544639035015026529e+00
252,1.0,1.587785252292472693e+00,1.587785252292472693e+00
253,1.0,1.629320391049837280e+00,1.629320391049837280e+00
254,1.0,1.669130606358858238e+00,1.669130606358858238e+00
255,1.0,1.707106781186547906e+00,1.707106781186547906e+00
256,1.0,1.743144825477394688e+00,1.743144825477394688e+00
257,1.0,1.777145961456970458e+00,1.777145961456970458e+00
258,1.0,1.809016994374947007e+00,1.809016994374947007e+00
259,1.0,1.838670567945424050e+00,1.838670567945424050e+00
260,1.0,1.866025403784438819e+00,1.866025403784438819e+00
261,1.0,1.891006524188368010e+00,1.891006524188368010e+00
262,1.0,1.913545457642601200e+00,1.913545457642601200e+00
263,1.0,1.933580426497201410e+00,1.933580426497201410e+00
264,1.0,1.951056516295153420e+00,1.951056516295153420e+00
265,1.0,1.965925826289068201e+00,1.965925826289068201e+00
266,1.0,1.978147600733805689e+00,1.978147600733805689e+00
267,1.0,1.987688340595137770e+00,1.987688340595137770e+00
268,1.0,1.994521895368273512e+00,1.994521895368273512e+00
269,1.0,1.998629534754573722e+00,1.998629534754573722e+00
270,1.0,2.000000000000000000e+00,2.000000000000000000e+00
271,1.0,1.998629534754573722e+00,1.998629534754573722e+00
272,1.0,1.994521895368273290e+00,1.994521895368273290e+00
273,1.0,1.987688340595137770e+00,1.987688340595137770e+00
274,1.0,1.978147600733805467e+00,1.978147600733805467e+00
275,1.0,1.965925826289068645e+00,1.965925826289068645e+00
276,1.0,1.951056516295153642e+00,1.951056516295153642e+00
277,1.0,1.933580426497201854e+00,1.933580426497201854e+00
278,1.0,1.913545457642600756e+00,1.913545457642600756e+00
279,1.0,1.891006524188367788e+00,1.891006524188367788e+00
280,1.0,1.866025403784438375e+00,1.866025403784438375e+00
281,1.0,1.838670567945424494e+00,1.838670567945424494e+00
282,1.0,1.809016994374947895e+00,1.809016994374947895e+00
283,1.0,1.777145961456970902e+00,1.777145961456970902e+00
284,1.0,1.743144825477394244e+00,1.743144825477394244e+00
285,1.0,1.707106781186547462e+00,1.707106781186547462e+00
286,1.0,1.669130606358857793e+00,1.669130606358857793e+00
287,1.0,1.629320391049838168e+00,1.629320391049838168e+00
288,1.0,1.587785252292473581e+00,1.587785252292473581e+00
289,1.0,1.544639035015027417e+00,1.544639035015027417e+00
290,1.0,1.500000000000000000e+00,1.500000000000000000e+00
291,1.0,1.453990499739546527e+00,1.453990499739546527e+00
292,1.0,1.406736643075799709e+00,1.406736643075799709e+00
293,1.0,1.358367949545301157e+00,1.358367949545301157e+00
294,1.0,1.309016994374947895e+00,1.309016994374947895e+00
295,1.0,1.258819045102521184e+00,1.258819045102521184e+00
296,1.0,1.207911690817759398e+00,1.207911690817759398e+00
297,1.0,1.156434465040230508e+00,1.156434465040230508e+00
298,1.0,1.104528463267652860e+00,1.104528463267652860e+00
299,1.0,1.052335956242944626e+00,1.052335956242944626e+00
300,1.0,1.000000000000000666e+00,1.000000000000000666e+00
301,1.0,9.476640437570564846e-01,9.476640437570564846e-01
302,1.0,8.954715367323465847e-01,8.954715367323465847e-01
303,1.0,8.435655349597688257e-01,8.435655349597688257e-01
304,1.0,7.920883091822401578e-01,7.920883091822401578e-01
305,1.0,7.411809548974801487e-01,7.411809548974801487e-01
306,1.0,6.909830056250514385e-01,6.909830056250514385e-01
307,1.0,6.416320504546983994e-01,6.416320504546983994e-01
308,1.0,5.932633569242014016e-01,5.932633569242014016e-01
309,1.0,5.460095002604545833e-01,5.460095002604545833e-01
310,1.0,5.000000000000011102e-01,5.000000000000011102e-01
311,1.0,4.553609649849736929e-01,4.553609649849736929e-01
312,1.0,4.122147477075274180e-01,4.122147477075274180e-01
313,1.0,3.706796089501628311e-01,3.706796089501628311e-01
314,1.0,3.308693936411418735e-01,3.308693936411418735e-01
315,1.0,2.928932188134523162e-01,2.928932188134523162e-01
316,1.0,2.568551745226054228e-01,2.568551745226054228e-01
317,1.0,2.228540385430286541e-01,2.228540385430286541e-01
318,1.0,1.909830056250518826e-01,1.909830056250518826e-01
319,1.0,1.613294320545751726e-01,1.613294320545751726e-01
320,1.0,1.339745962155622916e-01,1.339745962155622916e-01
321,1.0,1.089934758116328783e-01,1.089934758116328783e-01
322,1.0,8.645454235739957749e-02,8.645454235739957749e-02
323,1.0,6.641957350279859007e-02,6.641957350279859007e-02
324,1.0,4.894348370484657984e-02,4.894348370484657984e-02
325,1.0,3.407417371093179881e-02,3.407417371093179881e-02
326,1.0,2.185239926619442219e-02,2.185239926619442219e-02
327,1.0,1.231165940486222965e-02,1.231165940486222965e-02
328,1.0,5.478104631726599116e-03,5.478104631726599116e-03
329,1.0,1.370465245426055745e-03,1.370465245426055745e-03
330,1.0,0.000000000000000000e+00,0.000000000000000000e+00
331,1.0,1.370465245426166767e-03,1.370465245426166767e-03
332,1.0,5.478104631726488094e-03,5.478104631726488094e-03
333,1.0,1.231165940486200761e-02,1.231165940486200761e-02
334,1.0,2.185239926619408912e-02,2.185239926619408912e-02
335,1.0,3.407417371093146574e-02,3.407417371093146574e-02
336,1.0,4.894348370484624677e-02,4.894348370484624677e-02
337,1.0,6.641957350279814598e-02,6.641957350279814598e-02
338,1.0,8.645454235739902238e-02,8.645454235739902238e-02
339,1.0,1.089934758116322122e-01,1.089934758116322122e-01
340,1.0,1.339745962155616255e-01,1.339745962155616255e-01
341,1.0,1.613294320545763938e-01,1.613294320545763938e-01
342,1.0,1.909830056250532149e-01,1.909830056250532149e-01
343,1.0,2.228540385430299864e-01,2.228540385430299864e-01
344,1.0,2.568551745226045346e-01,2.568551745226045346e-01
345,1.0,2.928932188134513170e-01,2.928932188134513170e-01
346,1.0,3.308693936411408743e-01,3.308693936411408743e-01
347,1.0,3.706796089501617208e-01,3.706796089501617208e-01
348,1.0,4.122147477075263078e-01,4.122147477075263078e-01
349,1.0,4.553609649849725827e-01,4.553609649849725827e-01
350,1.0,4.999999999999998890e-01,4.999999999999998890e-01
351,1.0,5.460095002604533621e-01,5.460095002604533621e-01
352,1.0,5.932633569242002913e-01,5.932633569242002913e-01
353,1.0,6.416320504547003978e-01,6.416320504547003978e-01
354,1.0,6.909830056250536590e-01,6.909830056250536590e-01
355,1.0,7.411809548974805928e-01,7.411809548974805928e-01
356,1.0,7.920883091822388256e-01,7.920883091822388256e-01
357,1.0,8.435655349597674935e-01,8.435655349597674935e-01
358,1.0,8.954715367323452524e-01,8.954715367323452524e-01
359,1.0,9.476640437570551523e-01,9.476640437570551523e-01
360,1.0,9.999999999999987788e-01,9.999999999999987788e-01
361,1.0,1.139173100960061857e+00,1.139173100960061857e+00
362,1.0,1.275637355817001106e+00,1.275637355817001106e+00
363,1.0,1.406736643075800597e+00,1.406736643075800597e+00
364,1.0,1.529919264233203791e+00,1.529919264233203791e+00
365,1.0,1.642787609686537253e+00,1.642787609686537253e+00
366,1.0,1.743144825477391358e+00,1.743144825477391358e+00
367,1.0,1.829037572555042290e+00,1.829037572555042290e+00
368,1.0,1.898794046299166816e+00,1.898794046299166816e+00
369,1.0,1.951056516295152976e+00,1.951056516295152976e+00
370,1.0,1.984807753012207465e+00,1.984807753012207465e+00
371,1.0,1.999390827019095873e+00,1.999390827019095873e+00
372,1.0,1.994521895368273290e+00,1.994521895368273290e+00
373,1.0,1.970295726275996806e+00,1.970295726275996806e+00
374,1.0,1.927183854566788312e+00,1.927183854566788312e+00
375,1.0,1.866025403784440817e+00,1.866025403784440817e+00
376,1.0,1.788010753606721348e+00,1.788010753606721348e+00
377,1.0,1.694658370458997698e+00,1.694658370458997698e+00
378,1.0,1.587785252292474691e+00,1.587785252292474691e+00
379,1.0,1.469471562785893859e+00,1.469471562785893859e+00
380,1.0,1.342020143325667103e+00,1.342020143325667103e+00
381,1.0,1.207911690817758954e+00,1.207911690817758954e+00
382,1.0,1.069756473744126524e+00,1.069756473744126524e+00
383,1.0,9.302435262558775841e-01,9.302435262558775841e-01
384,1.0,7.920883091822380484e-01,7.920883091822380484e-01
385,2.0,6.579798566743302324e-01,6.579798566743302324e-01
386,2.0,5.305284372141096938e-01,5.305284372141096938e-01
387,2.0,4.122147477075286393e-01,4.122147477075286393e-01
388,2.0,3.053416295410054104e-01,3.053416295410054104e-01
389,2.0,2.119892463932768756e-01,2.119892463932768756e-01
390,2.0,1.339745962155611814e-01,1.339745962155611814e-01
391,2.0,7.281614543321313082e-02,7.281614543321313082e-02
392,2.0,2.970427372400419319e-02,2.970427372400419319e-02
393,2.0,5.478104631726377072e-03,5.478104631726377072e-03
394,2.0,6.091729809043489041e-04,6.091729809043489041e-04
395,2.0,1.519224698779186866e-02,1.519224698779186866e-02
396,2.0,4.894348370484580268e-02,4.894348370484580268e-02
397,2.0,1.012059537008314081e-01,1.012059537008314081e-01
398,2.0,1.709624274449592640e-01,1.709624274449592640e-01
399,2.0,2.568551745226058669e-01,2.568551745226058669e-01
400,2.0,3.572123903134596379e-01,3.572123903134596379e-01
401,2.0,4.700807357667925457e-01,4.700807357667925457e-01
402,2.0,5.932633569242020677e-01,5.932633569242020677e-01
403,2.0,7.243626441830017804e-01,7.243626441830017804e-01
404,2.0,8.608268990399339238e-01,8.608268990399339238e-01
405,1.0,9.999999999999977796e-01,9.999999999999977796e-01
406,1.0,1.139173100960061635e+00,1.139173100960061635e+00
407,1.0,1.275637355817000884e+00,1.275637355817000884e+00
408,1.0,1.406736643075800375e+00,1.406736643075800375e+00
409,1.0,1.529919264233203791e+00,1.529919264233203791e+00
410,1.0,1.642787609686537031e+00,1.642787609686537031e+00
411,1.0,1.743144825477395798e+00,1.743144825477395798e+00
412,1.0,1.829037572555042068e+00,1.829037572555042068e+00
413,1.0,1.898794046299166816e+00,1.898794046299166816e+00
414,1.0,1.951056516295152754e+00,1.951056516295152754e+00
415,1.0,1.984807753012207243e+00,1.984807753012207243e+00
416,1.0,1.999390827019095873e+00,1.999390827019095873e+00
417,1.0,1.994521895368273290e+00,1.994521895368273290e+00
418,1.0,1.970295726275996806e+00,1.970295726275996806e+00
419,1.0,1.927183854566788535e+00,1.927183854566788535e+00
420,1.0,1.866025403784437486e+00,1.866025403784437486e+00
421,1.0,1.788010753606721348e+00,1.788010753606721348e+00
422,1.0,1.694658370458997698e+00,1.694658370458997698e+00
423,1.0,1.587785252292475136e+00,1.587785252292475136e+00
424,1.0,1.469471562785894303e+00,1.469471562785894303e+00
425,1.0,1.342020143325667103e+00,1.342020143325667103e+00
426,1.0,1.207911690817759176e+00,1.207911690817759176e+00
427,1.0,1.069756473744126746e+00,1.069756473744126746e+00
428,1.0,9.302435262558778062e-01,9.302435262558778062e-01
429,1.0,7.920883091822383815e-01,7.920883091822383815e-01
430,1.0,6.579798566743304544e-01,6.579798566743304544e-01
431,1.0,5.305284372141099158e-01,5.305284372141099158e-01
432,1.0,4.122147477075287503e-01,4.122147477075287503e-01
433,1.0,3.053416295410055215e-01,3.053416295410055215e-01
434,1.0,2.119892463932770976e-01,2.119892463932770976e-01
435,1.0,1.339745962155614034e-01,1.339745962155614034e-01
436,1.0,7.281614543321324184e-02,7.281614543321324184e-02
437,1.0,2.970427372400430421e-02,2.970427372400430421e-02
438,1.0,5.478104631726377072e-03,5.478104631726377072e-03
439,1.0,6.091729809043489041e-04,6.091729809043489041e-04
440,1.0,1.519224698779175764e-02,1.519224698779175764e-02
441,1.0,4.894348370484569166e-02,4.894348370484569166e-02
442,1.0,1.012059537008312970e-01,1.012059537008312970e-01
443,1.0,1.709624274449591530e-01,1.709624274449591530e-01
444,1.0,2.568551745226057559e-01,2.568551745226057559e-01
445,1.0,3.572123903134594158e-01,3.572123903134594158e-01
446,1.0,4.700807357667923236e-01,4.700807357667923236e-01
447,1.0,5.932633569242018456e-01,5.932633569242018456e-01
448,1.0,7.243626441830015583e-01,7.243626441830015583e-01
449,1.0,8.608268990399337017e-01,8.608268990399337017e-01
450,1.0,9.999999999999975575e-01,9.999999999999975575e-01
451,1.0,1.139173100960061413e+00,1.139173100960061413e+00
452,1.0,1.275637355817000662e+00,1.275637355817000662e+00
453,1.0,1.406736643075800153e+00,1.406736643075800153e+00
454,1.0,1.529919264233203569e+00,1.529919264233203569e+00
455,1.0,1.642787609686536809e+00,1.642787609686536809e+00
456,1.0,1.743144825477395798e+00,1.743144825477395798e+00
457,1.0,1.829037572555042068e+00,1.829037572555042068e+00
458,1.0,1.898794046299166594e+00,1.898794046299166594e+00
459,1.0,1.951056516295154974e+00,1.951056516295154974e+00
460,1.0,1.984807753012207243e+00,1.984807753012207243e+00
461,1.0,1.999390827019095873e+00,1.999390827019095873e+00
462,1.0,1.994521895368273956e+00,1.994521895368273956e+00
463,1.0,1.970295726275996806e+00,1.970295726275996806e+00
464,1.0,1.927183854566786092e+00,1.927183854566786092e+00
